id,artist,genre,title,favourite
65,A Tribe Called Quest,HipHop,Pad & Pen,
66,A Tribe Called Quest,HipHop,Busta's Lament,
67,A Tribe Called Quest,HipHop,Hot 4 U,
68,A Tribe Called Quest,HipHop,Against the World,
69,A Tribe Called Quest,HipHop,Love,
70,A Tribe Called Quest,HipHop,Rock Rock Y'all - Mos Def,
71,A Tribe Called Quest,HipHop,Scenario [Remix][_],
72,A Tribe Called Quest,HipHop,Money Maker [_],
73,A Tribe Called Quest,HipHop,Hot Sex [_],
74,A Tribe Called Quest,HipHop,Oh My God [Remix][_],
75,A Tribe Called Quest,HipHop,Jazz (We've Got) [_],
76,A Tribe Called Quest,HipHop,One Two S__t [_] - Busta Rhymes,
77,A Tribe Called Quest,HipHop,Excursions,
78,A Tribe Called Quest,HipHop,Buggin' Out,
79,A Tribe Called Quest,HipHop,Rap Promoter,
80,A Tribe Called Quest,HipHop,Butter,
81,A Tribe Called Quest,HipHop,Verses From the Abstract,
82,A Tribe Called Quest,HipHop,Show Business,
83,A Tribe Called Quest,HipHop,Vibes and Stuff,
84,A Tribe Called Quest,HipHop,Infamous Date Rape,
85,A Tribe Called Quest,HipHop,Check the Rhime,
86,A Tribe Called Quest,HipHop,Everything Is Fair,
87,A Tribe Called Quest,HipHop,Jazz (We've Got),
88,A Tribe Called Quest,HipHop,Skypager,
89,A Tribe Called Quest,HipHop,What_,
90,Aceyalone and Rjd2,HipHop,All For U,
91,Aceyalone and Rjd2,HipHop,Fire,
92,Aceyalone and Rjd2,HipHop,"Cornbread, Eddy, and Me",
93,Aceyalone and Rjd2,HipHop,Moore,
94,Aceyalone and Rjd2,HipHop,Supahero,
95,Aceyalone and Rjd2,HipHop,High Lights,
96,Aceyalone and Rjd2,HipHop,Disconnected,
97,Aceyalone and Rjd2,HipHop,Caged Bird,
98,Aceyalone and Rjd2,HipHop,Solomon Jones,
99,Aceyalone and Rjd2,HipHop,A Sunday Mystery,
100,Aceyalone and Rjd2,HipHop,Junior,
101,Aceyalone and Rjd2,HipHop,Heaven,
102,Aceyalone and Rjd2,HipHop,Here and Now,
103,Aceyalone and Rjd2,HipHop,A Beautiful Mine,
104,Action Bronson,HipHop,01 Pouches Of Tuna Ft. Roc Marcia,
105,Action Bronson,HipHop,02 Steve Wynn,
106,Action Bronson,HipHop,03 Tan Leather,
107,Action Bronson,HipHop,04 Double Breasted,
108,Action Bronson,HipHop,05 Thug Love Story 2012,
109,Action Bronson,HipHop,06 Hookers At The Point,
110,Action Bronson,HipHop,07 Dreamer,
111,Action Bronson,HipHop,08 Ron Simmons,
112,Action Bronson,HipHop,09 Expensive Pens Ft. Meyhem Laur,
113,Action Bronson,HipHop,10 9-24-11,
114,Action Bronson,HipHop,11 Arts & Leisure Ft. Kool Ad,
115,Action Bronson,HipHop,12 Intercontinental Champion,
116,Action Bronson,HipHop,13 5 Minute Beats 1 Take Raps,
117,Action Bronson,HipHop,14 Blue Chips,
118,Action Bronson,HipHop,15 103 And Roosy,
119,Action Bronson,HipHop,16 Tapas,
120,Action Bronson,HipHop,East Bound And Down,
121,Action Bronson,HipHop,T.K.O,
122,Action Bronson,HipHop,Mark Sanchez,
123,Action Bronson,HipHop,Shiraz,
124,Action Bronson,HipHop,The Come Up,
125,Action Bronson,HipHop,Imported Goods,
126,Action Bronson,HipHop,Bronson Maina,
127,Action Bronson,HipHop,Dabble In Truffles,
128,Action Bronson,HipHop,Growin Up,
129,Action Bronson,HipHop,Mofongo,
130,Action Bronson,HipHop,Fuck Me Till I Die,
131,Action Bronson,HipHop,Borderline,
132,Action Bronson,HipHop,Eastern Promises,
133,Action Bronson,HipHop,85 Barritz BRO-HAM,
134,Action Bronson,HipHop,Body Language,
135,Action Bronson,HipHop,Aged Manchego,
136,Action Bronson,HipHop,Albino Gorilla,
137,Action Bronson,HipHop,Roasted Bone Marrow,
138,Action Bronson,HipHop,Get Off The P.P.,
139,Action Bronson,HipHop,Tango & Cash,
140,Action Bronson,HipHop,Shape Shifters,
141,Action Bronson,HipHop,Night Court,
142,Action Bronson,HipHop,Ceviche,
143,Action Bronson,HipHop,Black Rain,
144,Action Bronson,HipHop,Double Impact,
145,Action Bronson,HipHop,The Team,
146,Action Bronson,HipHop,Marijuana Bronson,
147,Action Bronson,HipHop,Shorty Bop With A Hook,
148,Action Bronson,HipHop,Friendly Fire,
149,Action Bronson,HipHop,Bronson Hard Lemonade,
150,Action Bronson,HipHop,I Remember,
151,Action Bronson,HipHop,Amuse Pusche,
152,Action Bronson,HipHop,On The Real,
153,Action Bronson,HipHop,Re-Elect Dinkins,
154,Action Bronson,HipHop,Chilli Chicken Hakka Style,
155,Action Bronson,HipHop,Moonstruck,
156,Action Bronson,HipHop,Barry Horowitz,
157,Action Bronson,HipHop,The Madness,
158,Action Bronson,HipHop,Larry Csonka,
159,Action Bronson,HipHop,Ronnie Coleman,
160,Action Bronson,HipHop,Bag of Money Ft. Meyhem Lauren,
161,Action Bronson,HipHop,Brunch,
162,Action Bronson,HipHop,Shiraz,
163,Action Bronson,HipHop,Buddy Guy,
164,Action Bronson,HipHop,Jerk Chicken Ft. Maffew Ragazino,
165,Action Bronson,HipHop,"Chuck Person Ft. Meyhem Lauren, S",
166,Action Bronson,HipHop,Forbidden Fruit,
167,Action Bronson,HipHop,"Suede Ft. Meyhem Lauren, Shaz Ill",
168,Action Bronson,HipHop,Get Off My P.P.,
169,Action Bronson,HipHop,Beautiful Music,
170,Action Bronson & Statik Selektah,HipHop,Respect The Mustoche,
171,Action Bronson & Statik Selektah,HipHop,Time For Some Ft. Lil Fame,
172,Action Bronson & Statik Selektah,HipHop,Cocoo Butter Ft. Nina Sky,
173,Action Bronson & Statik Selektah,HipHop,White Silk,
174,Action Bronson & Statik Selektah,HipHop,Keep Off The Grass,
175,Action Bronson & Statik Selektah,HipHop,The Stick Up,
176,Action Bronson & Statik Selektah,HipHop,Central Bookings Ft. Meyham Laure,
177,Action Bronson & Statik Selektah,HipHop,Cirque Du Soleil,
178,Action Bronson & Statik Selektah,HipHop,The Rainmaker,
179,Action Bronson & Statik Selektah,HipHop,Love Letter,yes
180,Action Bronson & Statik Selektah,HipHop,Not Enough Words,
181,Action Bronson & Statik Selektah,HipHop,Terror Death Camp Ft. Meyham Laur,
182,Action Bronson & Statik Selektah,HipHop,Miss Fordham Road (86 87 88),
183,Action Bronson & Statik Selektah,HipHop,Cliff Notes,
184,Action Bronson & Statik Selektah,HipHop,Bon Voyage,
185,AC_DC,Classic Rock,Let There Be Rock,
186,AC_DC,Classic Rock,Dirty Deeds Done Dirt Cheap,
187,AC_DC,Classic Rock,Big Gun,
188,AC_DC,Classic Rock,The Jack,
189,AC_DC,Classic Rock,Heatseeker,
190,AC_DC,Classic Rock,Jailbreak,
191,AC_DC,Classic Rock,You Shook Me All Night Long,
192,AC_DC,Classic Rock,Rock 'N' Roll Damnation,
193,AC_DC,Classic Rock,Shake Your Foundations,
194,AC_DC,Classic Rock,T.N.T.,
195,AC_DC,Classic Rock,Who Made Who,
196,AC_DC,Classic Rock,Highway To Hell,
197,AC_DC,Classic Rock,Whole Lotta Rosie,
198,AC_DC,Classic Rock,For These About To Rock (We Salut,
199,AC_DC,Classic Rock,Big Balls,
200,AC_DC,Classic Rock,Rocker,
201,Aesop Rock,HipHop,Water,
202,Aesop Rock,HipHop,Wise Up,
203,Aesop Rock,HipHop,The Active Element,
204,Aesop Rock,HipHop,The Tugboat Complex,
205,Aesop Rock,HipHop,Bad Karma,
206,Aesop Rock,HipHop,Take Me to the Basement,
207,Aesop Rock,HipHop,Blacklist (feat. MF Doom),
208,Aesop Rock,HipHop,Sinister (feat. Vast Aire & Yesh),yes
209,Aesop Rock,HipHop,Helium (feat. Vordul),
210,Aesop Rock,HipHop,Dragon Coaster (feat. Mojo),
211,Aesop Rock,HipHop,Inner City Hustle [Wakin'] (feat.,
212,Aesop Rock,HipHop,Tap Dancin' for Scratch (feat. Va,
213,Aesop Rock,HipHop,Put Your Quarters Up (feat. Slug,
214,Aesop Rock,HipHop,Home Again (feat. The Controls),
215,Aesop Rock,HipHop,Coma [remix],
216,Aesop Rock,HipHop,Atlantis (feat. Mojo),
217,Aesop Rock,HipHop,Bad Summeritan,
218,Aesop Rock,HipHop,Commencement at the Obedience Aca,
219,Aesop Rock,HipHop,Accapella [Live at the El-Ray],
220,Aesop Rock,HipHop,Fishtales,
221,Aesop Rock,HipHop,Face Melter,
222,Aesop Rock,HipHop,Numb [To the Guns],
223,Aesop Rock,HipHop,Sniff Glue,
224,Aesop Rock,HipHop,Crooked,
225,Aesop Rock,HipHop,Sabbatical with Options,
226,Aesop Rock,HipHop,Kill Switch,
227,Aesop Rock,HipHop,Jet Son,
228,Aesop Rock,HipHop,Train Buffer,
229,Aesop Rock,HipHop,Ace Rocks,
230,Aesop Rock,HipHop,All in All,
231,Aesop Rock,HipHop,Kill Em All,
232,Aesop Rock,HipHop,Junkyard,
233,Aesop Rock,HipHop,Preservation (feat. Del the Funky,
234,Aesop Rock,HipHop,Deadpan,
235,Aesop Rock,HipHop,One of Four,
236,Aesop Rock,HipHop,Kill Em All [Rjd2 remix],
237,Aesop Rock,HipHop,No Jumper Cables [remix],
238,Aesop Rock,HipHop,Train Buffer [remix],
239,Aesop Rock,HipHop,Encounter,
240,Aesop Rock,HipHop,Float,
241,Aesop Rock,HipHop,Commencement At The Obediance Aca,
242,Aesop Rock,HipHop,Big Bang,
243,Aesop Rock,HipHop,Garbage,
244,Aesop Rock,HipHop,I'll Be Ok (Featuring Slug),
245,Aesop Rock,HipHop,Breakfast With Blockhead,
246,Aesop Rock,HipHop,Basic Cable,
247,Aesop Rock,HipHop,Fascination,
248,Aesop Rock,HipHop,Oxygen,
249,Aesop Rock,HipHop,Skip Town,
250,Aesop Rock,HipHop,6B Panamara,
251,Aesop Rock,HipHop,Lunch With Blockhead,
252,Aesop Rock,HipHop,Spare A Match,yes
253,Aesop Rock,HipHop,Attentoin Span (Featuring Vast Ai,
254,Aesop Rock,HipHop,How To Be A Carpenter,
255,Aesop Rock,HipHop,Prosperity,
256,Aesop Rock,HipHop,No Splash,
257,Aesop Rock,HipHop,Drawbridge (Featuring Dose One),
258,Aesop Rock,HipHop,Dinner With Blockhead,
259,Aesop Rock,HipHop,The Mayor And The Crook,
260,AFI,Punk,Two Of A Kind,
261,AFI,Punk,Half-Empty Bottle,
262,AFI,Punk,Y?rf Rendernmein,
263,AFI,Punk,I Wanna Get a Mohawk (But Mom,
264,AFI,Punk,Brownie Bottom Sundae,
265,AFI,Punk,The Checkered Demon,
266,AFI,Punk,Cereal Wars,
267,AFI,Punk,The Mother In Me,
268,AFI,Punk,Rizzo In The Box,
269,AFI,Punk,Kung-Fu Devil,
270,AFI,Punk,Your Name Here,
271,AFI,Punk,Ny-Quil,
272,AFI,Punk,Don't Make Me Ill,
273,AFI,Punk,Open Your Eyes - High School F,
274,AFI,Punk,Strength Through Wounding,
275,AFI,Punk,Porphyria,
276,AFI,Punk,Exsanguination,
277,AFI,Punk,Malleus Maleficarum,
278,AFI,Punk,Narrative Of Soul Against Soul,
279,AFI,Punk,Clove Smoke Catharsis,
280,AFI,Punk,The Prayer Position,
281,AFI,Punk,No Poetic Device,
282,AFI,Punk,Weathered Tome,
283,AFI,Punk,The Last Kiss,
284,AFI,Punk,At A Glance,
285,AFI,Punk,God Called In Sick Today,
286,AFI,Punk,Prelude 12_21,
287,AFI,Punk,Kill Caustic,
288,AFI,Punk,Miss Murder,
289,AFI,Punk,Summer Shudder,
290,AFI,Punk,The Interview,
291,AFI,Punk,Love Like Winter,
292,AFI,Punk,Affliction,
293,AFI,Punk,The Missing Frame,
294,AFI,Punk,Kiss And Control,
295,AFI,Punk,The Killing Lights,yes
296,AFI,Punk,37mm,
297,AFI,Punk,Endlessly She Said,
298,AFI,Punk,Don't Change [Bonus Track] (INXS,
299,AFI,Punk,Jack The Ripper [Bonus Track] (Mo,
300,AFI,Punk,On The Arrow [Bonus Track],
301,AFI,Punk,Fallen Like The Sky [Bonus Track],
302,AFI,Punk,Keeping Out Of Direct Sunlight,
303,AFI,Punk,Three Reasons,
304,AFI,Punk,A Single Second,
305,AFI,Punk,pH Low,
306,AFI,Punk,Let It Be Broke,
307,AFI,Punk,Third Season,
308,AFI,Punk,Lower Your Head And Take It In,
309,AFI,Punk,Coin Return,
310,AFI,Punk,The New Patron Saints And Ange,
311,AFI,Punk,Three Seconds Notice,
312,AFI,Punk,Salt For Your Wounds,
313,AFI,Punk,Today's Lesson,
314,AFI,Punk,The Devil Loves You,
315,AFI,Punk,Triple Zero,
316,AFI,Punk,Miseria Cantare (The Beginning,
317,AFI,Punk,The Leaving Song Pt. 2-Fnt,
318,AFI,Punk,Bleed Black-Fnt,
319,AFI,Punk,Silver And Cold-Fnt,
320,AFI,Punk,Dancing Through Sunday-Fnt,
321,AFI,Punk,Girls Not Grey-Fnt,
322,AFI,Punk,Death Of Seasons-Fnt,
323,AFI,Punk,The Great Disappointment-Fnt,
324,AFI,Punk,Paper Airplanes (Makeshift Win,
325,AFI,Punk,This Celluloid Dream-Fnt,
326,AFI,Punk,The Leaving Song-Fnt,
327,AFI,Punk,But Home Is Nowhere-Fnt,
328,AFI,Punk,Initiation,
329,AFI,Punk,The Lost Souls,
330,AFI,Punk,The Nephilim,
331,AFI,Punk,Ever And A Day,
332,AFI,Punk,Sacrifice Theory,
333,AFI,Punk,Of Greetings And Goodbyes,
334,AFI,Punk,Smile,
335,AFI,Punk,Story At Three,
336,AFI,Punk,The Days Of The Pheonix,
337,AFI,Punk,Catch A Hot One,
338,AFI,Punk,Wester,
339,AFI,Punk,6 To 8,
340,AFI,Punk,The Despair Factor,yes
341,AFI,Punk,Morningstar,
342,AFI,Punk,He Who Laughs Last,
343,AFI,Punk,File 13,
344,AFI,Punk,Wake Up Call,
345,AFI,Punk,Cult Status,
346,AFI,Punk,Perfect Fit,
347,AFI,Punk,Advances In Modern Technology,
348,AFI,Punk,Theory Of Revolution,
349,AFI,Punk,This Secret Ninja,
350,AFI,Punk,Soap Box Derby,
351,AFI,Punk,Aspirin Free,
352,AFI,Punk,Fishbowl,
353,AFI,Punk,Charles Atlas,
354,AFI,Punk,Crop Tub,
355,AFI,Punk,Consult My Lover,
356,AFI,Punk,Take The Test,
357,AFI,Punk,Two Of A Kind,
358,AFI,Punk,Shatty Fatmas,
359,AFI,Punk,Y?rf Rendernmein,
360,AFI,Punk,Cruise Control,
361,AFI,Punk,Modern Epidemic,
362,Akon,HipHop,Gansta Bop,
363,Akon,HipHop,Smack That Ft Eminem,
364,Akon,HipHop,Blown Away Ft Styles P,
365,Akon,HipHop,I Wanna Fuck You Ft Snoop Dog,
366,Akon,HipHop,Be Easy Ft Gage,
367,Akon,HipHop,Me Myself & I,
368,Akon,HipHop,You Dont Want It,
369,Akon,HipHop,Cross That Line Ft Rick Ross,yes
370,Akon,HipHop,Girls Ft Beenie Man,
371,Akon,HipHop,Keep On Calling Ft P Money,
372,Akon,HipHop,Moonshine Ft Savage,
373,Akon,HipHop,Go To War Ft Papoose,
374,Akon,HipHop,So Fly Ft Blewz,
375,Akon,HipHop,Ride Out Ft Tru-Life,
376,Akon,HipHop,Dont Let Up,
377,Akon,HipHop,Gun In Hand Ft Booba,
378,Akon,HipHop,U Got Me Ft T-Pain,
379,Akon,HipHop,Look Me In My Eyes Ft Blast,
380,Akon,HipHop,On Da Corner-Outro Ft Fat Joe And,
381,Alan Cross,Radio,What's The Big Deal About Bauhaus,
382,Alan Cross,Radio,Music That Mattered 25-23,
383,Alan Cross,Radio,Music That Mattered 22 & 21,
384,Alan Cross,Radio,Music That Mattered 20 & 19,
385,Alan Cross,Radio,Music That Mattered 18 & 17,
386,Alan Cross,Radio,Music That Mattered 16 & 15,
387,Alan Cross,Radio,Music That Mattered 14 & 13,
388,Alan Cross,Radio,Music That Mattered 12 & 11,
389,Alan Cross,Radio,Music That Mattered 10 & 9,
390,Alan Cross,Radio,Music That Mattered 8 & 7,
391,Alan Cross,Radio,Music That Mattered 6 & 5,
392,Alan Cross,Radio,Music That Mattered 4,
393,Alan Cross,Radio,Music That Mattered 3,
394,Alan Cross,Radio,Music That Mattered 2,
395,Alan Cross,Radio,Music That Mattered 1,
396,Alan Cross,Radio,Electronica Part 1,
397,Alan Cross,Radio,Electronica Part 2,
398,Alan Cross,Radio,Electronica Part 3,
399,Alan Cross,Radio,Electronica Part 4,
400,Alan Cross,Radio,The Impact Of The Music Video,
401,Alan Cross,Radio,Monsters Of New Rock Foo Fighters,
402,Alan Cross,Radio,Monsters Of New Rock The Offsprin,yes
403,Alan Cross,Radio,Monsters Of New Rock_ Blink 182,
404,Alan Cross,Radio,Monsters Of New Rock_ Foo Fighter,
405,Alan Cross,Radio,Monsters Of New Rock_ Green Day,
406,Alan Cross,Radio,Monsters Of New Rock_ Kid Rock,
407,Alan Cross,Radio,Monsters Of New Rock_ Limp Bizkit,
408,Alan Cross,Radio,Monsters Of New Rock_ Radiohead,
409,Alan Cross,Radio,Monsters Of New Rock_ Red Hot Chi,
410,Alan Cross,Radio,Payola,
411,Alan Cross,Radio,"The Producers, Part 1",
412,Alan Cross,Radio,The Reunions Return!,
413,Alan Cross,Radio,The Stone Roses,
414,Alan Cross,Radio,Tool,
415,Alan Cross,Radio,9 Great B-Sides,
416,Alan Cross,Radio,A Brief History Of Nu Metal 1,
417,Alan Cross,Radio,A Brief History Of Nu Metal 2,
418,Alan Cross,Radio,A Live History Of The Smashing Pu,
419,Alan Cross,Radio,Brit Pop Part 1,
420,Alan Cross,Radio,Brit Pop Part 2,
421,Alan Cross,Radio,Brit Pop Part 3,
422,Alan Cross,Radio,Brit Pop Part 4,
423,Alan Cross,Radio,Creed,
424,Alan Cross,Radio,Depeche Mode At 20,
425,Alan Cross,Radio,Emo_ What's That_,
426,Alan Cross,Radio,Get In the Van!,
427,Alan Cross,Radio,Gossip And Weirdness,
428,Alan Cross,Radio,Moby,
429,Alan Cross,Radio,Outsider Music,
430,Alan Cross,Radio,"Psychos, Nutcases & Weirdos",
431,Alan Cross,Radio,Red Hot Chili Peppers Part 1,
432,Alan Cross,Radio,Red Hot Chili Peppers Part 2,
433,Alan Cross,Radio,Red Hot Chili Peppers Part 3,
434,Alan Cross,Radio,Seven Great Mysteries Of Modern R,
435,Alan Cross,Radio,The History of Selling Out Part 1,
436,Alan Cross,Radio,The History of Selling Out Part 2,
437,Alan Cross,Radio,The New Rockers,
438,Alan Cross,Radio,Weezer,
439,Alan Cross,Radio,What's The Big Deal About Elvis C,
440,Alan Cross,Radio,What's Wrong With The Music Indus,
441,Alan Cross,Radio,Why Performers Hate Their Record,
442,Alan Cross,Radio,Where Are They Now_,
443,Alan Cross,Radio,How To Talk Like A Rock Snob 2,
444,Alan Cross,Radio,Nirvana By The Numbers - Part I,
445,Alan Cross,Radio,Nirvana By The Numbers - Part Ii,
446,Alan Cross,Radio,Tracks From The Vinyl Vault,
447,Alan Cross,Radio,Joe Strummer A Remembrance 1,
448,Alan Cross,Radio,Joe Strummer A Remembrance 2,
449,Alan Cross,Radio,What's The Big Deal About The Smi,
450,Alan Cross,Radio,Building A Record Library 1 (Albu,
451,Alan Cross,Radio,Building A Record Library 2 (Albu,
452,Alan Cross,Radio,Building A Record Collection Part,
453,Alan Cross,Radio,Building A Record Collection Part,
454,Alan Cross,Radio,Nickelback,
455,Alan Cross,Radio,Alt-Rock's Greatest Instrumentals,
456,Alan Cross,Radio,Rise & Fall Of Alice In Chains 1,
457,Alan Cross,Radio,Rise & Fall Of Alice In Chains 2,
458,Alan Cross,Radio,A Music Industry Checkup,
459,Alan Cross,Radio,Medical Matters & Mysteries Of Mu,
460,Alan Cross,Radio,Medical Matters & Mysteries Of Mu,
461,Alan Cross,Radio,The White Stripes,
462,Alan Cross,Radio,How To Talk Like A Rock Snob 3,
463,Alan Cross,Radio,Madchester Part 1,
464,Alan Cross,Radio,Madchester Part 2,
465,Alan Cross,Radio,Radiohead Part 1,
466,Alan Cross,Radio,Radiohead Part 2,
467,Alan Cross,Radio,Radiohead Part 3,
468,Alan Cross,Radio,Radiohead Part 4,
469,Alan Cross,Radio,Christian Alt-Rock,
470,Alan Cross,Radio,The Crime Beat,
471,Alan Cross,Radio,Coldplay,
472,Alan Cross,Radio,The Producers 3  The Canadians,
473,Alan Cross,Radio,The 100 Greatest New Rock Moments,
474,Alan Cross,Radio,The 100 Greatest New Rock Moments,
475,Alan Cross,Radio,The 100 Greatest New Rock Moments,
476,Alan Cross,Radio,The 100 Greatest New Rock Moments,
477,Alan Cross,Radio,The 100 Greatest New Rock Moments,
478,Alan Cross,Radio,The 100 Greatest New Rock Moments,
479,Alan Cross,Radio,The 100 Greatest New Rock Moments,
480,Alan Cross,Radio,The 100 Greatest New Rock Moments,
481,Alan Cross,Radio,The 100 Greatest New Rock Moments,
482,Alan Cross,Radio,The 100 Greatest New Rock Moments,
483,Alan Cross,Radio,Kurt Cobain 10 Years Later Part 1,
484,Alan Cross,Radio,Kurt Cobain 10 Years Later Part 2,
485,Alan Cross,Radio,Was Kurt Cobain Murdered_ Part 1,
486,Alan Cross,Radio,Was Kurt Cobain Murdered_ Part 2,
487,Alan Cross,Radio,New Rock's Craziest People,
488,Alan Cross,Radio,Drummers Who Made A Difference,yes
489,Alan Cross,Radio,A Guide To Summer Concert Festiva,
490,Alan Cross,Radio,The Secret History Of Recorded Mu,
491,Alan Cross,Radio,Stories Behind Songs,
492,Alan Cross,Radio,Taboo Tunes_ Fear of Music Part 1,
493,Alan Cross,Radio,Taboo Tunes_ Fear of Music Part 2,
494,Alan Cross,Radio,How To Talk Like A Rock Snob 5,
495,Alan Cross,Radio,Seven Morrissey Mysteries,
496,Alan Cross,Radio,Rhythm Sections,
497,Alan Cross,Radio,Format Wars,
498,Alan Cross,Radio,Death As A Career Move,
499,Alan Cross,Radio,U2 A Secret History - Part 1,
500,Alan Cross,Radio,U2 A Secret History - Part 2,
501,Alan Cross,Radio,U2 A Secret History - Part 3,
502,Alan Cross,Radio,U2 A Secret History - Part 4,
503,Alan Cross,Radio,What's the Big Deal About The Cur,
504,Alan Cross,Radio,Xmas Show 11,
505,Alan Cross,Radio,Gay New Rock 1,
506,Alan Cross,Radio,Gay New Rock 2,
507,Alan Cross,Radio,Whatever Happened to Britpop 1,
508,Alan Cross,Radio,Whatever Happened to Britpop 2,
509,Alan Cross,Radio,Whatever Happened to Britpop 3,
510,Alan Cross,Radio,Alt-Rock's Greatest All-Female Ba,
511,Alan Cross,Radio,Alt-Rock's Greatest All-Female Ba,
512,Alan Cross,Radio,I'm Not Dead Yet,
513,Alan Cross,Radio,Montreal New Rock,
514,Alan Cross,Radio,Bad Career Moves 2,
515,Alan Cross,Radio,Nirvana The Songs and Sessions,
516,Alan Cross,Radio,Beck's Brain,
517,Alan Cross,Radio,New Rock Secrets - Exposed!,
518,Alan Cross,Radio,Green Day_ Deep Background,
519,Alan Cross,Radio,Trent Reznor & Nine Inch Nails Pa,
520,Alan Cross,Radio,Trent Reznor & Nine Inch Nails Pa,
521,Alan Cross,Radio,Joy Division and Ian Curtis 25 Ye,
522,Alan Cross,Radio,10 Weird Things About Oasis,
523,Alan Cross,Radio,Definition,
524,Alan Cross,Radio,Bono Yes Just Bono,
525,Alan Cross,Radio,Modern Collectible Records,
526,Alan Cross,Radio,More Outsider Music,
527,Alan Cross,Radio,The Tricky Issue of Sampling,
528,Alan Cross,Radio,The 500th Episode,
529,Alan Cross,Radio,"CBGB - A History, Part 1",
530,Alan Cross,Radio,"CBGB - A History, Part 2",
531,Alan Cross,Radio,A Brief Tribute to Robert Moog,
532,Alan Cross,Radio,Before They Were Famous,
533,Alan Cross,Radio,Rivers Cuomo,
534,Alan Cross,Radio,10 Things About Coldplay,
535,Alan Cross,Radio,All-Time Longevity Champions,
536,Alan Cross,Radio,Where are they now_ Another repri,
537,Alan Cross,Radio,Xmas Show 12,
538,Alan Cross,Radio,(Good) Goth Part 1,
539,Alan Cross,Radio,(Good) Goth Part 2,
540,Alan Cross,Radio,"30 Years Of Punk, Part 1 (Pre-Pun",
541,Alan Cross,Radio,"30 Years Of Punk, Part 2 (1975-19",
542,Alan Cross,Radio,"30 Years Of Punk, Part 3 (1977)",
543,Alan Cross,Radio,"30 Years Of Punk, Part 4 (1978-19",
544,Alan Cross,Radio,"30 Years Of Punk, Part 5 (The 80s",
545,Alan Cross,Radio,"30 Years Of Punk, Part 6",
546,Alan Cross,Radio,A Guide To Rock N Roll Drugs,
547,Alan Cross,Radio,A Quarter-Century Of Depeche Mode,
548,Alan Cross,Radio,Cover Songs 1,
549,Alan Cross,Radio,Cover Songs 2,
550,Alan Cross,Radio,Hidden Tracks,
